"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Unit;Portion
170232628672;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 13";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3631-6664-4532-a134-646362643132/34eca9e1c18376b88016d5213bbd3709.png;0;;;;;PFjJc0TXBZ16IsPDm3pF;;0;0;0;0;;0
936791423722;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 14";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3464-3336-4234-b366-363861316362/9fc33e86b6384cde3c863dcc850747f3.png;0;;;;;B42MhlrOeJDrjgAuJ6mK;;0;0;0;0;;0
661023584282;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 15";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3163-3433-4338-b332-376361353235/9e7b52b78188aa689f5156d8ccc17f10.png;0;;;;;HzffcvDvDLaB6vUHncCp;;0;0;0;0;;0
311909392342;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 16";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3766-3338-4834-a239-333539363530/df4c64c8d6d29836c67f0c34ee1839bc.png;0;;;;;3GSjoK5y0RdYP4avLIi0;;0;0;0;0;;0
984607827802;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 17";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6534-3635-4133-a332-333837386230/66d59b02095b2038288b0fc69419389a.png;0;;;;;alJfdk28GDKDPa1BoAdd;;0;0;0;0;;0
720549265522;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 18";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6339-3730-4236-a537-343933346337/4e5d7a05f4b6d422a691d6e0ff8aa63a.png;0;;;;;6Fzb0kscYsAMUhEfKoG8;;0;0;0;0;;0
396959542492;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 19";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3835-6535-4430-b432-626662383837/65c57c6e4dae494cee226d1cb9ac0889.png;0;;;;;31jeEc3dkUrY0e779g1L;;0;0;0;0;;0
854402028652;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 20";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6332-6563-4137-b535-313634653033/4ce8b3dab107080092f9f2d2cfd31ad8.png;0;;;;;vuRNc1fh7zgAB2tS7Evv;;0;0;0;0;;0
549836308932;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 21";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3032-6432-4366-b338-656139356433/42a45021f4b43de65d81d4a4259d7bfb.png;0;;;;;kyX0rpUN6lVzmh5AkE8G;;0;0;0;0;;0
816785415912;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 22";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3534-6230-4533-b036-653564323936/f3040f4162c97f210d02f5b621ac19d7.png;0;;;;;jDN41EegGvGXpi7365Vt;;0;0;0;0;;0
653517344182;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 23";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6161-6565-4266-b631-613630366635/b7107eacda41eb399c5a6617895c4474.png;0;;;;;9orrHNGfUlXEbydnZJZ9;;0;0;0;0;;0
603950320972;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 24";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3463-3663-4561-a161-353765363033/6b83d4af6259f06ffb0e20d155354193.png;0;;;;;0kUbEcFDlV0mI1Y2zece;;0;0;0;0;;0
845439008172;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 25";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3264-3233-4566-b731-363464393439/5c9e94e4db1d38a0a3560b12a0d51231.png;0;;;;;15aU6KPZMTtc4oEYZJJ3;;0;0;0;0;;0
487944735592;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 26";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3765-3939-4635-b430-626231643339/2f8317a4704e5b72d2a954e2491dc40c.png;0;;;;;UJdYV6UTZe9BpbsabkRU;;0;0;0;0;;0
364078111492;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 27";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3635-3931-4639-b964-343562636436/13b6f89bcc0d9dd0e0814bb7c6fc242b.png;0;;;;;3xReLy68Z2xzmL3L6c0V;;0;0;0;0;;0
657478672452;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 28";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6365-3335-4834-b237-336161616633/f9531accd7f5d7d026e53b1e16da918d.png;0;;;;;0JVhRxnFEaIBEjAVfE5Y;;0;0;0;0;;0
815716564152;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 29";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3334-3838-4466-a136-383064623038/c972ccd84d980250701ab4fa777800fb.png;0;;;;;XdH1nI9fygRntBclXST0;;0;0;0;0;;0
819391187462;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 30";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3161-3861-4433-b461-386331336232/8b782ef7b53b366c20e6e00115c483db.png;0;;;;;Bp1NhfR6yoH6LOZU6Eor;;0;0;0;0;;0
366502697552;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 31";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3037-6562-4635-b530-643062653036/8aa5f759a0bba630e1532812a488199f.png;0;;;;;EvZyU8mrhxPXYXHmXogt;;0;0;0;0;;0
859952417762;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 32";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3733-3335-4330-a331-616263643734/d2cf0ef140d25cafb311557abbfd9d1e.png;0;;;;;HtlKNIkCjbouMBr0DKLz;;0;0;0;0;;0
515540982392;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 33";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3833-3131-4435-b937-323965626334/cddff854b3419237f9343e8a3af186d4.png;0;;;;;mlYv6ocjsZGAs0t619Af;;0;0;0;0;;0
375847827502;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 34";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6430-3430-4738-b866-323761353534/96b3b75d01fd61b0bd5459b495db8ddf.png;0;;;;;mkH1mNAecgyru9mz9KGG;;0;0;0;0;;0
405716134302;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 35";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3462-3030-4138-a136-303134323935/f8ba4b5bd728c3cea5c837ec5daf4890.png;0;;;;;acR0Y8Rl0ufce6HR75dz;;0;0;0;0;;0
682388303462;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 36";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3331-3631-4464-b631-376566303962/f565c19e6dfcc99dd6199ce4623ca07b.png;0;;;;;T7UlnejcNgaoi9tnPIk8;;0;0;0;0;;0
